naslov,cena_eur,lokacija,kvadratura,broj_soba
"Nov jednoiposoban stan 44,81 m² – Novi Beograd",152.000,"Beograd, Opština Novi Beograd, Blok 72, Vinogradska","44,81 m2",1.5
"Wellport, izuzetan, garažno mesto, nov, useljiv",279.500,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",59 m2,2.0
"Slavija, Nemanjina 95 m2",365.000,"Beograd, Opština Savski venac, Nemanjina, Nemanjina",95 m2,3.5
"Vračar 123m2, Hadži Đerina, Petosoban, Lux, Garaža",615.000,"Beograd, Opština Vračar, Kalenić pijaca, Hadži Đerina",123 m2,5.0
Lep stan sa garažom kod Južnog Bulevara,275.000,"Beograd, Opština Voždovac, Gospodara Vučića, Gospodara Vučića",71 m2,3.0
Stan u Nehruovoj ulici 45m2,175.000,"Beograd, Opština Novi Beograd, Blok 62, Nehruova",45 m2,1.0
Dorćol | Luksuzno renoviran stan,410.000,"Beograd, Opština Stari grad, Studentski trg, Kapetan Mišina","68,40 m2",3.0
"Blok 65, Wellport, 59m2 ID#14524",279.500,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",59 m2,2.0
Odličan renoviran stan u Belvilu,390.000,"Beograd, Opština Novi Beograd, Blok 67 (Belvil), Bulevar Crvene Armije",106 m2,3.0
Srce Vračara,230.000,"Beograd, Opština Vračar, Cvetni trg, Desanke Maksimović",56 m2,2.0
"Izuzetan, odmah useljiv stan, Bežanijska kosa",217.000,"Beograd, Opština Novi Beograd, Bežanijska kosa 2, Marka Čelebonovića",64 m2,2.0
"Fontana, svetao, za adaptaciju",205.000,"Beograd, Opština Novi Beograd, Fontana, Pariske komune",62 m2,2.0
"Zemun, vrhunska lokacija",164.000,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62 m2,2.5
"Renoviran stan u Zemunu, vrhunska prilika",205.000,"Beograd, Opština Zemun, Save Kovačevića, Mića Radakovića",59 m2,2.0
"Banovo brdo, renoviran - uknjižen",134.000,"Beograd, Opština Čukarica, Banovo brdo, Stevana Brakusa",40 m2,1.5
Novogradnja Z1 Residence 44m2 + 20m2 Zvezdara,161.800,"Beograd, Opština Zvezdara, Bulbulder, Ljubice Luković",66 m2,1.5
"Petlovo brdo, Tuzlanska ID#3166",95.000,"Beograd, Opština Rakovica, Petlovo brdo, Tuzlanska",31 m2,1.5
"Kanarevo brdo, Vukasovićeva ID#3005",125.000,"Beograd, Opština Rakovica, Kanarevo brdo, Vukasovićeva",53 m2,2.0
"Nov, uknjižen, Medak padina",135.000,"Beograd, Opština Zvezdara, Medaković 3, Dušana Dude Timotijevića",55 m2,3.0
"Novogradnja, Zemun Gornji grad, 68,56m2",191.968,"Beograd, Opština Zemun, Gornji grad, ","68,56 m2",4.0
"West 65, nov, atraktivan 3.0 stan",410.000,"Beograd, Opština Novi Beograd, Blok 65, Omladinskih brigada",83 m2,3.0
Savremen 1.5 stan u novogradnji – Park Šumice,177.592,"Beograd, Opština Voždovac, Šumice","44,96 m2",1.5
"2.5, garažno mesto, izuzetna lokacija ID#1098",185.000,"Beograd, Opština Zemun, Save Kovačevića","60,47 m2",2.5
"Trosoban, uknjižen, u blizini Prvomajske. ID#1110",164.990,"Beograd, Opština Zemun, Centar, Milana Uzelca",71 m2,3.0
"Prvi sprat, garaža, u mirnom delu Zemuna ID#1259",154.600,"Beograd, Opština Zemun, Gornji grad, ",48 m2,2.5
"Renovirano kupatilo i kuhinja, dvostran, II sprat",149.000,"Beograd, Opština Palilula, Karaburma, ",54 m2,2.0
"Lux, kompletno namešten, odličan za rentiranje ID#",135.000,"Beograd, Opština Voždovac, Lekino brdo, ",31 m2,1.0
"3.5 stan na Zvezdari, Veljka Dugoševića ID#3787",185.000,"Beograd, Opština Zvezdara, Zvezdarska šuma, Veljka Dugoševića",62 m2,3.5
41 m² + Parking | Beo Shopping | Denkova Bašta,125.000,"Beograd, Opština Zvezdara, Denkova bašta, Paje Jovanovića",41 m2,1.5
BW Perla-ekskluzivan stan sa pogledom na reku,750.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","117,83 m2",3.0
BW Victoria-luksuzan threebedroom/pogled na reku,735.000,"Beograd, Opština Savski venac, Beograd na vodi, Hercegovačka","128,11 m2",4.0
"Veliki Mokri Lug, Dušana Dude Timotijevića, uknjiž",140.000,"Beograd, Opština Zvezdara, Veliki Mokri Lug, Dušana Dude Timotijevića",65 m2,3.0
Ekskluzivna prilika-stan sa ogromnim potencijalom,199.000,"Beograd, Opština Čukarica, Banovo brdo",65 m2,2.0
Uknjižen renoviran dvoiposoban stan Karaburma,168.000,"Beograd, Opština Palilula, Karaburma",55 m2,2.5
"Vojvode Stepe, četvorosoban sa garažom",269.500,"Beograd, Opština Voždovac, Voždovačka crkva, Vojvode Stepe",76 m2,4.0
Autokomanda-prostran trosoban 93m² sa garažom ID#2,338.000,"Beograd, Opština Voždovac, Autokomanda, Vojvode Stepe",93 m2,3.0
Duplex 145m²- Kumodraška ID#2903,530.400,"Beograd, Opština Voždovac, Dušanovac, Kumodraška",145 m2,5.0
Novogradnja u Matice srpske – moderan stan na odli,130.000,"Beograd, Opština Zvezdara, Mirijevo, Matice Srpske",64 m2,2.5
"Mirijevo– moderan stan,novogradnja lux ID#1648",129.000,"Beograd, Opština Zvezdara, Mirijevo, ","58,04 m2",3.0
Centar Beograda - Bulevar despota Stefana 49 m² ID,193.000,"Beograd, Opština Palilula, Bulevar despota Stefana, Bulevar despota Stefana",54 m2,2.0
