naslov,cena_eur,lokacija,kvadratura,broj_soba,cena_po_m2
"Top investicija, blizina BW-G.Principa! ID#2056",159000,"Beograd, Opština Savski venac, Ekonomski fakultet, Gavrila Principa",32.0,0.5,4968.75
Penthouse na odličnoj lokaciji! ID#2112,399000,"Beograd, Opština Voždovac, Lekino brdo, Veselina Masleše",119.0,4.0,3352.9411764705883
"Trosoban stan kod TC Ada Mall-a-nov,useljiv ID#237",219000,"Beograd, Opština Čukarica, Banovo brdo, Karpoševa",54.0,3.0,4055.5555555555557
Fantastičan stan-novogradnja-4.0-Palilula ID#2762,329533,"Beograd, Opština Palilula, Karaburma, Hoze Martia",119.83,4.0,2750.0041725778187
Fantastičan stan-novogradnja-1.5-Palilula ID#2770,150400,"Beograd, Opština Palilula, Karaburma, Hoze Martia",47.0,4.0,3200.0
Novogradnja kod Cvetkove pijace,166858,"Beograd, Opština Zvezdara, Cvetkova pijaca",43.91,1.5,3800.0000000000005
"Lux 2.5 stan u bloku 65, Tadije Sondermajera ID#38",329000,"Beograd, Opština Novi Beograd, Blok 65, Tadije Sondermajera",69.0,2.5,4768.115942028986
"Sunčani breg, u izgradnji",90000,"Beograd, Opština Rakovica, Miljakovac, Kozačka",41.0,1.5,2195.121951219512
"Jedinstvena ponuda, LUX, 33m2, dvosoban, Karaburma",123000,"Beograd, Opština Palilula, Karaburma, Pabla Nerude",33.0,2.0,3727.2727272727275
"Renoviran 1.5 stan, odmah useljiv, prelepa terasa",189000,"Beograd, Opština Novi Beograd, Blok 61, Dušana Vukasovića",49.0,1.5,3857.1428571428573
Trosoban stan sa panoramskim pogledom,164900,"Beograd, Opština Zemun, Save Kovačevića, Ohridska",62.0,3.0,2659.6774193548385
"Kod Hrama, 117m2, III, cg",490000,"Beograd, Opština Vračar, Hram svetog Save, Nebojšina",117.0,4.0,4188.034188034188
"Nov, uknjižen, Vojvode vlahovića",140000,"Beograd, Opština Voždovac, Vojvode Vlahovića, Dušana Dude Timotijevića",65.0,3.0,2153.846153846154
Duplex | Senjak | Potpuno opremljen,749000,"Beograd, Opština Savski venac, Senjak, Andre Nikolića",218.0,3.0,3435.7798165137615
"Trosoban, svetao, sa odličnom strukturom ID#1405",179500,"Beograd, Opština Vračar, Južni bulevar, ",51.0,3.0,3519.607843137255
Komforan stan-prelepa lokacija-Braće Srnić! ID#202,245000,"Beograd, Opština Zvezdara, Medaković 3, Braće Srnić",103.0,4.0,2378.640776699029
Fantastična investicija- Airport Garden ID#2396,157900,"Beograd, Opština Novi Beograd, Blok 64, Đorđa Stanojevića",32.0,1.0,4934.375
"Trosoban stan, novija zgrada, Arena! ID#2683",399000,"Beograd, Opština Novi Beograd, Arena, Bulevar Arsenija Čarnojevića",85.18,3.0,4684.198168584175
Kompletno renoviran četvorosoban stan 104 m²–kod G,348000,"Beograd, Opština Zvezdara, Gradska bolnica, Čingrijina",104.0,4.0,3346.153846153846
Renoviran porodični stan 100 m² kod Bajlonijeve pi,465000,"Beograd, Opština Stari grad, Gundulićev venac, Knez Miletina",100.0,3.0,4650.0
Dva parking mesta+terasa 130m2,305000,"Beograd, Opština Savski venac, Stadion Partizana, Prilepska",124.0,4.0,2459.6774193548385
BW Kula | Ekskluzivan luksuzni stan sa pogledom,500000,"Beograd, Opština Savski venac, Beograd na vodi, Karađorđeva",61.65,2.0,8110.300081103001
"Arena, Blok 29, Bulevar Zorana Đinđića",520590,"Beograd, Opština Novi Beograd, Arena, Bulevar Zorana Đinđića",123.95,5.0,4200.0
"Vračar, kod Čuburskog parka, Sazonova 82m2",333000,"Beograd, Opština Vračar, Crveni krst, Sazonova",82.0,3.0,4060.9756097560976
Stan u zgradi Vojvođanka sa privatnim dvorištem,525555,"Beograd, Opština Novi Beograd, Bežanijska kosa 1, Generala Mihaila Nedeljkovića",150.0,4.5,3503.7
"Lekino brdo - kod Maksima Gorkog, 27m2, II, cg",129000,"Beograd, Opština Voždovac, Lekino brdo, Gospodara Vučića",27.0,1.0,4777.777777777777
"Retenzija, namešten, uknjižen, lux",205000,"Beograd, Opština Zemun, Retenzija, Prve pruge",42.0,1.5,4880.952380952381
"Vračar-Kalenić 65(T) renoviran, funkcionalan",285000,"Beograd, Opština Vračar, Kalenić pijaca, Mileševska",65.0,2.5,4384.615384615385
Investicija kod Piramide i Savskog keja,101000,"Beograd, Opština Novi Beograd, Blok 44 (TC Piramida), Gandijeva",32.0,1.0,3156.25
"Stan sa najlepšim rasporedom, BW, potpuno namešten",390000,"Beograd, Opština Savski venac, Beograd na vodi, ",77.0,3.0,5064.935064935065
"U najlepšem delu Vračara, stan sa dve spavaće sobe",249900,"Beograd, Opština Vračar, Hram svetog Save, ",53.0,2.5,4715.094339622641
BW Riviera-Sava Promenada-fantastična prilika! ID#,895000,"Beograd, Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",119.87,3.0,7466.421957120213
Odličan 3.5 stan-Hram Svetog Save ID#2085,310000,"Beograd, Opština Vračar, Hram svetog Save, Patrijarha Varnave",68.0,3.5,4558.823529411765
Retka prilika–salonski stan sa dva ulaza ID#2489,399000,"Beograd, Opština Savski venac, Centar, Svetozara Markovića",96.0,3.5,4156.25
Funkcionalan dvosoban stan sa velikom terasom ID#2,189000,"Beograd, Opština Novi Beograd, Blok 61, Dušana Vukasovića",49.0,1.5,3857.1428571428573
"Zemun, manji dvoiposoban, odlična investicija",124995,"Beograd, Opština Zemun, Prvomajska, Banjička",50.0,2.5,2499.9
"3.0 stan, novogradnja kod Olimpa, garažno mesto",261000,"Beograd, Opština Zvezdara, Olimp, Ariljska",78.0,3.0,3346.153846153846
Trosoban stan sa garažnim mestom - vlasnik,315000,"Beograd, Opština Zvezdara, Bulbulder, Dimitrija Tucovića",75.0,3.0,4200.0
"Vidikovači venac, 2.5, I sprat, namešten",220000,"Beograd, Opština Rakovica, Vidikovački venac, Vidikovački venac",72.0,2.5,3055.5555555555557
